市场,代码,名称
上海,002106,莱宝高科
上海,002107,沃华医药
上海,002108,沧州明珠
上海,002109,兴化股份
上海,002110,三钢闽光
上海,002111,威海广泰
上海,002112,三变科技
上海,002114,罗平锌电
上海,002115,三维通信
上海,002116,中国海诚
上海,002117,东港股份
上海,002119,康强电子
深圳,600000,浦发银行
深圳,600004,白云机场
深圳,600006,东风股份
深圳,600007,中国国贸
深圳,600008,首创环保
深圳,600009,上海机场
深圳,600010,包钢股份
深圳,600011,华能国际
深圳,600012,皖通高速
深圳,600015,华夏银行
深圳,600016,民生银行
深圳,600017,日照港
深圳,600018,上港集团
深圳,600019,宝钢股份
深圳,600020,中原高速
深圳,600021,上海电力
深圳,600022,山东钢铁
深圳,600023,浙能电力
深圳,600025,华能水电
深圳,600026,中远海能
深圳,600027,华电国际
深圳,600028,中国石化
深圳,600029,南方航空
深圳,600030,中信证券
深圳,600031,三一重工
深圳,600032,浙江新能
深圳,600033,福建高速
深圳,600035,楚天高速
深圳,600036,招商银行
深圳,600037,歌华有线
深圳,600038,中直股份
深圳,600039,四川路桥
深圳,600048,保利发展
深圳,600050,中国联通
深圳,600051,宁波联合
深圳,600052,东望时代
深圳,600053,九鼎投资
深圳,600054,黄山旅游
深圳,600055,万东医疗
深圳,600056,中国医药
深圳,600057,厦门象屿
深圳,600058,五矿发展
深圳,600059,古越龙山
深圳,600060,海信视像
深圳,600061,国投资本
深圳,600062,华润双鹤
深圳,600063,皖维高新
深圳,600064,南京高科
深圳,600066,宇通客车
深圳,600067,冠城新材
深圳,600071,凤凰光学
深圳,600072,中船科技
深圳,600073,光明肉业
深圳,600075,新疆天业
深圳,600076,康欣新材
深圳,600078,澄星股份
深圳,600079,人福医药
深圳,600080,金花股份
深圳,600081,东风科技
深圳,600082,海泰发展
深圳,600084,中信尼雅
深圳,600085,同仁堂
深圳,600088,中视传媒
深圳,600089,特变电工
深圳,600094,大名城
深圳,600095,湘财股份
深圳,600096,云天化
深圳,600097,开创国际
深圳,600098,广州发展
深圳,600099,林海股份
深圳,600100,同方股份
深圳,600101,明星电力
深圳,600103,青山纸业
深圳,600104,上汽集团
深圳,600105,永鼎股份
深圳,600106,重庆路桥
深圳,600107,美尔雅
深圳,600108,亚盛集团
深圳,600109,国金证券
深圳,600110,诺德股份
深圳,600111,北方稀土
深圳,600113,浙江东日
深圳,600114,东睦股份
深圳,600115,中国东航
深圳,600116,三峡水利
